10000,不好，刀片一点不锋利
10001,面霜不干，很舒服，还有淡淡的香味
10002,很香，像护手霜的香味，
10003,太油腻了，而且洗不干净！果然被**欺骗了
10004,作用不大
10005,发货蛮快的。本人是混油，用起来没觉得不适，挺好的。会考虑回购。
10006,用了一段时间才来评价的，洗面奶很好用，泡沫丰富、细腻，好
10007,刚收到，看着还不错，用了在评论
10008,挺好的 物流也挺快的！第二次购买了
10009,宝贝收到了！很喜欢很好用，物流很快给力五星好评哦
10010,价格实惠，搞活动抢购的，买了二十片送了二十片。真的赚大了。比实体店便宜多了。好评哦！
10011,挺好的，已经用了两三瓶洗面奶了，洗完脸不干，顺滑&hellip;&hellip;
10012,洗面奶很好用，使用了效果还挺好的，很温和不刺激皮肤，我很满意。
10013,根本修不了，刀片很顿！
10014,可以，美美哒
10015,***洗面奶收到了，是正品，已使用，洁面很干净，温和不刺激，很好用！
10016,东西还不错。超出预期。很满意。两片，也划算。推荐购买
10017,货已经收到！物流很快，快递小哥很热情！还没有用，期待很好用！
10018,清洁能力：清洁能力挺好的  闻着很清爽  还买一送一很实惠  洗完没有紧绷感
10019,飞粉，不持久，不好晕染，有色差，便宜没好货吧！
10020,没有酒精味。很好推开。很满意
10021,比较实惠。补水效果也挺好
10022,炒鸡好用！！夹出来的睫毛很自然❤
10023,滋润及保湿：特别棒，也挺清爽的吧
10024,买一送五，合算。是正品
10025,很精致的包装，还送了小样
10026,谢谢店家的赠品
10027,还是非常好用滴哈哈
10028,一直用****的水 夏天用清爽的 冬天用柔润的 送两个30ml的小瓶超级可爱出门旅游带着很方便
10029,补水效果好，一直用这个牌子的，好用
10030,老顾客加回头客了，使用效果吸收很不错哦，可以根据自己的皮肤参考购买噢
10031,好没用
10032,经常用他们家 非常不错 可以购买 用了几年了 应该正品
10033,差评  不要买了，便宜没好货 看图说话 不要买了各位仙女 粉饼是碎的，质量非常差
10034,镜子的吸铁石不好用
10035,不好用，清洁能力差的要死，以后再也不买了
10036,真的是太划算了，囤了一大箱，能用三个月了。
10037,太差劲了，用了一次头发油的不成样子，头皮屑全都出来了，把同学都吓了一跳，头发油的太快，一天不到就油了，现在已经扔了。防卖家骚扰，给中评。
10038,还没上妆，但是收到后发现真的是好小一只，30ML买的时候没注意，不过也算正常了，大牌子嘛这个价格能买一点就很好了
10039,买一赠一，价廉，值得购买
10040,真好看 能让人认清自己
10041,提亮肤色，不油腻，给人一种清新的感觉
10042,舍友推荐  确实很补水  精华超级多的  每次敷完还很多水
10043,太过锋利不能用
10044,用了两天才来评价，这款洗面奶洗的很干净，不油腻，适合我的皮肤，喜欢
10045,用着没效果
10046,这款面膜我一直在用，真的很好敷完以后水水的嫩嫩的，不错下次还买
10047,刚拿到，笔芯就断了，一次都没用到呢，火大
10048,这是什么鬼指甲有啊，真的是第一次见到，这么难弄，刷子又大，涂起来又干，真的要买要考虑一下哦
10049,不怎么亮肤
10050,喜欢这个，这个涂在脸上然后再用气垫妆感非常好
10051,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的
10052,包装都坏了刀片也生锈了
10053,一直用***，感觉还不错，这次看主播推荐购买的
10054,面膜挺好的，一直都买了他们家的，下次还会再来的。
10055,用了效果特别好，以后买面膜就他们家了
10056,特别差 美女们别被这上面颜色吸引了 色差特别大
10057,比在官网上买的便宜好多了 很喜欢 用了一片我朋友的就爱上了 立马下单了 46片好划算
10058,已经用过，和实体店的质量一样！
10059,味道难受死了
10060,还不错，洗完感觉脸有点干
10061,可以，应该是正品。花花服务态度也很好。
10062,一点都不能用。 直接差评。 买回来连个眉毛都修不了。这刀真的是费了
10063,超服帖，遮瑕效果也不错。真是对得起这个价格了，还送了卸妆水，618真的超值
10064,给母上大人买的  一直用的这个牌子的  应该是正品的把还没用  用了再来追评
10065,这个粉扑很好用，很软，不太吸粉，扑上脸很舒服，赞赞赞！
10066,好用，不错，物美价廉，推荐一下
10067,超级好用，我的大油田有救了！六一囤货中！
10068,送货快，当天就到了，用着也还不错，有活动买着划算
10069,很不错，还送了很多小样，价格也不贵，容易吸收，喜欢
10070,非常好用，媳妇非常喜欢
10071,速度一如既往的快。气垫使用方便，必备
10072,还不错，这个价格买到这个质量真的很不错哦⊙&forall
10073,色差太严重，这两个颜色卖家跟我说是一样的，根本就是透明的好吗，真服！！
10074,洗完感觉还有一层，洗不掉，倒是不紧绷
10075,滋润及保湿：很滋润诶，很好闻
10076,这个是真的垃圾，涂不匀称，还会结块，花钱买教训吧🙂不该贪图便宜
10077,面膜不怎么好，质量差
10078,做活动买的，好划算！
10079,效果很好！！！会回购
10080,已经使用过了，不错
10081,水的包装很漂亮，不管好不好用吧，看着心情都好一点。好用再追评。客服岁岁的服务态度挺不错的
10082,看着还不错，赠送了两小瓶卸妆水，希望能很好用。。。。。
10083,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好
10084,是真的好用，会回购
10085,特别好用，适合裸妆的我，美美哒
10086,颜色很漂亮 与图片一样 卖家发货速度很快 很满意
10087,不知道用得怎么样，好评吧
10088,发货速度非常快，正品，还会继续回购，给五星好评
10089,觉得一般般
10090,挺好的，夏天用不油腻
10091,还没有开始用，先好评吧，护肤品的一系列都是用***的，
10092,不错，很实惠。比~上买的实惠多了。包装很完美。在~买发回来的跟批发上的
10093,第一次买这个牌子的面膜，试了一下还行，用的好了下次还来买
10094,还没用了，闻起来香香的，应该会满意到时候在追评
10095,还没用，，等用了再来追评。看起来还不错，第一次买这个。希望好用，以后还再来
10096,出水顺滑 持久 还送了眼影和卸妆巾 价格好实惠 日期到22年
10097,胶水质量不错。没有味道。好评
10098,面膜已经用了几颗了，不错的，建议购买我用纯净水做的湿敷，毛孔都小了些
10099,是真东西，一直都在用
10100,效果不好，最差的一次面膜，感觉不是正品
10101,这个洗面奶还真不错，洗完脸不紧绷关键是品牌价格亲民啊
10102,看用用效果还是不错的
10103,老顾客挺好的
10104,买来的时候都没有包装，别人用过都不知道，老是漏出来，挺香的
10105,很不错的一款隔离霜继续关注的&hellip
10106,今天收到货就迫不及待地试了下确实可遮瑕，以后就认定你家的了。
10107,还可以吧就是涂在脸上有些干
10108,第二次回够啦！！！超级棒！！性价比也超好！总之买它买它买它  真的好用！！！
10109,香味淡淡的蛮好，试用了下不油腻有点增白效果！
10110,这个洗面奶很好用，洗完不绷脸
10111,东西还可以，支持好评。
10112,效果挺不错的，对于油性皮肤的我是一款不错的选择，还能去黑头，作用很大，强烈推荐这家，价格还不贵哦
10113,一直用***的护肤品，用了两天真的很好用，补水**快递真的很快，点个赞，会继续回购的
10114,很好啊，很水润，之前用的送的面膜试了觉得不错才买的，这次买也蛮划算的
10115,***哥哥的推荐，非常好，面膜很好用，蚕丝面膜纸非常贴，好多精华，贴完脸，真的补水！
10116,还没用，味道闻过去还可以
10117,看起来也不错 还没有 期待效果
10118,为了***买的，支持**哥哥，面膜很好很保水补湿?
10119,感觉挺好的，等我用后再评
10120,很好，不油腻，很适合我用，平价
10121,不错，比~便宜，希望是正品！！！！
10122,上色挺好的
10123,几百块钱的产品里给我放个近期在里面  还说都是保质期三四年呢客服态度敷衍了事
10124,这什么东西撒 一回来居然是这样的 差评差评
10125,用了很好，很舒服。感觉无刺激
10126,好用，支持，好评！
10127,疯狂飞粉我收到的有几块都碎了但是颜色还是很好看的
10128,买过多次，不知道这次的用完怎么会过敏
10129,非常适合油性皮肤！！！
10130,很不错，第一次使用，效果不错，下次好会再光顾的，棒棒哒！
10131,洗面奶挺好用的，清爽不刺激，赞哦
10132,还不错，我一拿出来他们争相量体重，哈哈
10133,618便宜大碗，有美白效果
