0,刀片,一点不锋利,其他,负面
0,_,不好,整体,负面
1,香味,淡淡的,气味,正面
1,_,不干,使用体验,负面
1,_,很舒服,使用体验,正面
2,香味,很香,气味,正面
3,_,太油腻了,使用体验,正面
4,_,作用不大,整体,负面
5,发货,蛮快的,物流,正面
5,_,挺好的,整体,正面
6,_,很好用,整体,正面
6,_,好,整体,正面
7,_,还不错,整体,正面
8,物流,挺快的,物流,正面
8,_,挺好的,整体,正面
9,物流,很快,物流,正面
9,_,很喜欢,整体,正面
9,_,很好用,整体,正面
10,价格,实惠,价格,正面
10,_,好评,整体,正面
10,活动,_,价格,正面
11,_,挺好的,整体,正面
11,_,不干,使用体验,正面
11,_,顺滑,使用体验,正面
12,效果,很温和,使用体验,正面
12,_,很好用,整体,正面
12,_,挺好的,整体,正面
12,_,不刺激,使用体验,正面
12,_,很满意,整体,正面
13,刀片,很顿,其他,负面
13,_,根本修不了,整体,负面
14,_,可以,整体,正面
15,_,是正品,真伪,正面
15,_,很干净,功效,正面
15,_,温和,使用体验,正面
15,_,不刺激,使用体验,正面
15,_,很好用,整体,正面
16,_,还不错,整体,正面
16,_,很满意,整体,正面
16,_,划算,价格,正面
17,物流,很快,物流,正面
17,快递小哥,很热情,物流,正面
18,_,很清爽,使用体验,正面
18,_,很实惠,价格,正面
18,清洁能力,_,功效,正面
19,_,飞粉,功效,负面
19,_,不持久,功效,负面
19,_,不好晕染,功效,负面
19,_,有色差,功效,负面
20,_,没有酒精味,气味,正面
20,_,很好推开,使用体验,正面
20,_,很满意,整体,正面
21,补水效果,挺好,功效,正面
21,_,比较实惠,价格,正面
22,_,炒鸡好用,整体,正面
22,_,很自然,功效,正面
23,滋润,特别棒,功效,正面
23,_,挺清爽的,使用体验,正面
23,保湿,_,功效,正面
24,_,合算,整体,正面
24,_,是正品,真伪,正面
25,包装,很精致,包装,正面
26,赠品,_,价格,正面
27,_,非常好用,整体,正面
28,_,柔润,使用体验,正面
29,补水效果,好,功效,正面
29,_,好用,整体,正面
30,吸收,很不错,使用体验,正面
31,_,好没,整体,正面
32,_,非常不错,整体,正面
32,_,正品,真伪,正面
33,质量,非常差,整体,负面
33,_,差评,整体,负面
33,_,碎的,其他,负面
34,_,不好用,整体,负面
35,_,不好用,整体,负面
36,_,太划算了,价格,正面
37,_,太差劲了,整体,负面
38,_,_,_,_
39,_,价廉,价格,正面
40,_,真好看,整体,正面
41,_,提亮肤色,功效,正面
41,_,不油腻,使用体验,正面
42,精华,超级多,成分,正面
42,_,确实很补水,功效,正面
42,_,很多,整体,正面
43,_,太过锋利,功效,负面
43,_,不能用,整体,负面
44,_,不油腻,使用体验,正面
44,_,喜欢,整体,正面
45,_,没效果,整体,正面
46,_,很好,整体,正面
46,_,嫩嫩的,使用体验,正面
46,_,不错,整体,正面
47,笔芯,断了,其他,负面
47,_,火大,整体,负面
48,刷子,难弄,其他,负面
48,_,涂起来,使用体验,负面
49,_,不怎么亮肤,整体,负面
50,_,喜欢,整体,正面
51,物流,超快,物流,正面
51,_,真心不错,整体,正面
51,_,非常舒服,使用体验,正面
52,包装,坏了,包装,负面
52,刀片,生锈了,其他,负面
53,_,还不错,整体,正面
54,_,挺好的,整体,正面
55,_,特别好,整体,正面
56,颜色,引了,功效,负面
56,_,特别差,整体,负面
56,_,特别大,整体,正面
56,_,差,功效,负面
57,_,便宜,价格,正面
57,_,很喜欢,整体,正面
57,_,好划算,价格,正面
58,质量,一样,整体,正面
59,味道,难受死,气味,负面
60,_,还不错,整体,正面
60,_,有点干,使用体验,负面
61,_,可以,整体,正面
61,服务态度,_,物流,正面
62,_,一点都不能用,整体,负面
62,_,差评,整体,负面
63,遮瑕效果,不错,功效,正面
63,价格,超值,价格,正面
63,_,超服帖,使用体验,正面
64,_,是正品,真伪,正面
65,_,很好用,整体,正面
65,_,很软,使用体验,正面
65,_,不太吸粉,使用体验,正面
65,_,很舒服,使用体验,正面
65,_,赞赞,整体,正面
66,_,好用,整体,正面
66,_,不错,整体,正面
66,_,物美价廉,价格,正面
67,_,超级好用,整体,正面
68,送货,快,物流,正面
68,活动,划算,价格,正面
68,_,还不错,整体,正面
69,价格,不贵,价格,正面
69,_,很不错,整体,正面
69,_,容易吸收,使用体验,正面
69,_,喜欢,整体,正面
70,_,非常好用,整体,正面
70,_,非常喜欢,整体,正面
71,速度,快,物流,正面
71,_,方便,使用体验,正面
72,_,还不错,整体,正面
72,_,真的很不错,整体,正面
72,价格,_,价格,正面
73,色差,太严重,功效,负面
73,_,真服,整体,负面
74,_,不紧绷,使用体验,负面
75,_,很滋润,使用体验,正面
75,_,很好闻,气味,正面
76,_,垃圾,整体,负面
76,_,不匀称,使用体验,负面
77,质量,差,整体,负面
77,_,不怎么好,整体,负面
78,_,好划算,整体,正面
79,效果,很好,功效,正面
80,_,不错,整体,正面
81,包装,很漂亮,包装,正面
81,服务态度,挺不错的,服务,正面
82,_,还不错,整体,正面
83,送货速度,很快,物流,正面
83,_,很快,物流,正面
84,_,真的好用,整体,正面
85,_,特别好用,整体,正面
86,颜色,很漂亮,功效,正面
86,发货速度,很快,物流,正面
86,_,很满意,整体,正面
87,_,好评,整体,正面
88,发货速度,非常快,物流,正面
88,_,正品,真伪,正面
89,_,一般般,整体,中性
90,_,挺好的,整体,正面
90,_,不油腻,使用体验,正面
91,_,_,_,_
92,包装,很完美,包装,正面
92,_,不错,整体,正面
92,_,很实惠,价格,正面
92,_,实惠多,价格,正面
93,_,还行,整体,正面
94,_,香香的,气味,正面
95,_,还不错,整体,正面
96,价格,好实惠,价格,正面
96,_,顺滑,使用体验,正面
96,_,持久,功效,正面
97,_,不错,其他,正面
97,_,没有味道,气味,正面
97,质量,_,整体,正面
98,_,不错,整体,正面
99,_,真东西,整体,负面
100,效果,不好,功效,负面
100,_,不是正品,真伪,负面
101,价格,亲民,价格,正面
101,_,还真不错,整体,正面
101,_,不紧绷,使用体验,正面
102,_,不错,整体,正面
103,_,挺好的,整体,正面
104,_,没有包装,包装,负面
104,_,挺香的,气味,正面
105,_,很不错,整体,正面
106,遮瑕,_,功效,正面
107,_,还可以,整体,正面
107,_,有些干,使用体验,负面
108,性价比,超好,价格,正面
108,_,超级棒,整体,正面
108,_,真的好用,整体,正面
109,香味,淡淡的,气味,正面
109,_,蛮好,整体,正面
109,_,不油腻,使用体验,正面
110,_,很好用,整体,正面
111,_,还可以,整体,正面
112,效果,挺不错的,功效,正面
112,价格,_,价格,正面
113,快递,很快,物流,正面
113,_,很好用,整体,正面
114,_,很好,整体,正面
114,_,很水润,使用体验,正面
114,_,蛮划算的,价格,正面
115,_,非常好,整体,正面
115,_,很好用,整体,正面
116,味道,还可以,气味,正面
117,_,不错,整体,正面
118,_,很好,整体,正面
119,_,挺好的,整体,正面
120,_,很好,整体,正面
120,_,不油腻,使用体验,正面
120,_,平价,价格,正面
121,_,不错,整体,正面
121,_,便宜,价格,正面
121,_,是正品,真伪,正面
122,上色,挺好的,功效,正面
123,保质期,_,新鲜度,负面
124,_,差评,整体,负面
124,_,差评,整体,负面
125,_,很好,整体,正面
125,_,很舒服,使用体验,正面
125,_,无刺激,使用体验,正面
126,_,好用,整体,正面
126,_,好评,整体,正面
127,颜色,很好看,功效,正面
128,_,怎么会过敏,使用体验,负面
129,_,非常适合油性皮肤,整体,正面
130,_,很不错,整体,正面
130,_,不错,整体,正面
130,_,棒棒哒,整体,正面
131,_,挺好用的,整体,正面
131,_,清爽,使用体验,正面
